spread;open_date;close_date;average_profit;max_drawdawn
BUY may corn / SELL dec corn;06/25/22;09/27/22;170.83;-262.5
BUY dec corn / SELL sep corn;05/08/22;08/07/22;271.67;-912.5
BUY dec corn / SELL jul corn;05/21/22;06/29/22;172.5;-337.5
BUY jul corn / SELL sep corn;06/25/22;08/07/22;260.83;-587.5
"BUY ""red"" dec corn / SELL dec corn";08/18/22;09/20/22;350;-712.5
BUY sep oats / SELL may oats;03/12/22;04/16/22;154.17;-675
BUY may oats / SELL jul oats;04/29/22;05/11/22;188.75;-325
BUY jul oats / SELL dec oats;06/13/22;07/13/22;438.33;-500
BUY may wheat / SELL sep wheat;07/12/22;08/20/22;226.67;-1212.5
BUY dec wheat / SELL jul wheat;09/23/22;10/22/22;311.67;-975
BUY jul wheat / SELL mar wheat;11/17/22;02/16/22;649.17;-1500
BUY jul wheat / SELL may wheat;12/17/22;02/28/22;411.67;-550
BUY jul wheat / SELL mar wheat;12/22/22;02/12/22;600;-825
BUY dec wheat / SELL may wheat;01/07/22;02/28/22;344.17;-650
BUY jul wheat / SELL mar wheat;01/09/22;02/08/22;405.83;-700
BUY may corn / SELL may wheat;02/10/22;02/19/22;333.33;-387.5
BUY sep corn / SELL sep wheat;05/12/22;06/17/22;408.33;-1100
BUY dec wheat / SELL dec corn;06/30/22;07/23/22;534.17;-1325
BUY sep wheat / SELL sep corn;07/07/22;07/22/22;685;-550
BUY 2 may corn / SELL 3 may oats;01/03/22;02/14/22;979.17;-3475
BUY jul corn / SELL 2 jul oats;01/03/22;02/19/22;613.33;-3037.5
BUY may corn / SELL 2 may oats;01/05/22;04/11/22;615;-3387.5
BUY 2 mar corn / SELL 3 mar oats;01/08/22;01/25/22;736.67;-2650
BUY mar corn / SELL 2 mar oats;01/10/22;01/25/22;431.67;-1587.5
BUY 3 dec oats / SELL 2 dec corn;04/06/22;04/24/22;975.83;-1462
BUY 3 sep oats / SELL 2 sep corn;06/22/22;07/31/22;1512.5;-1287.5
BUY sep oats / SELL sep corn;06/24/22;07/25/22;757.5;-700
BUY jul soybeans / SELL nov soybeans;07/15/22;10/03/22;487.5;-2562.5
BUY jul soybeans / SELL nov soybeans;07/16/22;09/28/22;257.5;-2037.5
"BUY ""red"" nov soybeans / SELL nov soybeans";09/11/22;10/20/22;350.83;-5862.5
BUY nov soybeans / SELL may soybeans;12/10/22;02/04/22;178.33;-1762.5
BUY may soybeans/ SELLnov soybeans;03/08/22;03/27/22;464.17;-525
BUY jul soybeans / SELL nov soybeans;03/08/22;06/09/22;457.5;-2975
BUY aug soybeans / SELL mar soybeans;05/26/22;07/10/22;485;-2262.5
BUY may soybeans / SELL sep soybeans;07/17/22;07/31/22;319.17;-575
BUY dec soybean meal / SELL jul soybean meal;10/02/22;11/02/22;322;-470
BUY jul soybean meal / SELL sep soybean meal;03/26/22;06/26/22;419.33;-1320
BUY aog soybean meal / SELL mar soybean meal;04/04/22;07/11/22;619.33;-4200
BUY jul soybean meal / SELL dec soybean meal;04/23/22;06/26/22;380.67;-3360
BUY aug soybean meal / SELL mar soybean meal;05/23/22;07/11/22;622.67;-1680
BUY dec soybean oil / SELL aug soybean oil;05/04/22;07/26/22;264.4;-240
BUY jan soybean oil / SELL sep soybean oil;05/16/22;08/17/22;277.2;-438
BUY jan soybean oil / SELL sep soybean oil;06/06/22;08/25/22;172.4;-876
BUY jul soybeans / SELL jul soybean meal;02/11/22;05/01/22;563.33;-1762
BUY jul soybeans / SELL jul soybean oil;04/27/22;05/10/22;475.33;-516.5
BUY dec soybean meal / SELL nov soybeans;06/21/22;08/07/22;586.83;-2430
BUY sep soybean meal / SELL sep soybeans;06/23/22;07/28/22;563.83;-2770
BUY dec soybean meat / SELL nov soybeans;07/15/22;07/29/22;293.92;-1575
BUY sep soybean oil / SELL sep soybeans;07/16/22;08/07/22;689.7;-2727
BUY mar soybeans / SELL mar soybean oil;08/12/22;09/04/22;550.33;-1253
BUY jan soybean meal / SELL jan soybeans;09/27/22;10/05/22;345.5;-567.5
BUY aug soybean meal / SELL aug soybean oil;04/24/22;07/14/22;970.67;-2158
BUY jul soybean meal / SELL sell jul soybean oil;04/29/22;06/24/22;814;-2298
BUY oct soybean meal / SELL oct soybean oil;07/01/22;09/14/22;280.67;-2548
BUY dec soybean meal / SELL dec soybean oil;08/07/22;10/13/22;920.53;-2702
BUY 2 mar corn / SELL mar soybeans;12/24/22;02/09/22;592.5;-1750
BUY sep soybeans / SELL sep corn;02/11/22;05/01/22;1145.83;-1937.5
BUY sep soybeans / SELL 2 sep corn;02/11/22;05/01/22;1165;-2525
BUY jul soybeans / SELL jul corn;02/24/22;05/01/22;1290.83;-2675
BUY jul soybeans / SELL 2 jul corn;02/28/22;04/27/22;835.83;-6587.5
BUY jul soybeans / SELL jul corn;04/15/22;05/03/22;709.17;-1462.5
BUY sep corn / SELL sep soybeans;07/13/22;07/31/22;654.17;-1587.5
BUY nov soybeans / SELL dec corn;08/13/22;09/12/22;1011.67;-1875
BUY mar soybeans / SELL 2 mar corn;08/18/22;09/05/22;716.67;-912.5
BUY dec corn / SELL nov soybeans;09/16/22;10/04/22;574.17;-4512.5
BUY mar soybeans / SELL 2 mar corn;10/31/22;12/09/22;637.5;-1812.5
